reward,f1,nhd
0.752215602,0.5,0.4
0.475195851,0.470588235,0.45
0.475195851,0.470588235,0.45
0.694719126,0.428571429,0.4
0.670905797,0.4,0.45
0.744444444,0.461538462,0.35
0.744444444,0.461538462,0.35
0.744444444,0.461538462,0.35
0.744444444,0.461538462,0.35
0.680905797,0.428571429,0.4
0.329038801,0.4,0.45
0.354493355,0.4,0.45
0.513048846,0.375,0.5
0.344493355,0.375,0.5
0.445555556,0.375,0.5
0.417168459,0.375,0.5
0.601383444,0.461538462,0.35
0.385185185,0.428571429,0.4
0.342388562,0.571428571,0.3
0.566636904,0.571428571,0.3
0.365,0.666666667,0.25
0.395185185,0.461538462,0.35
0.586636904,0.5,0.3
0.586636904,0.5,0.3
0.56380028,0.615384615,0.25
0.591383444,0.571428571,0.3
0.345357143,0.666666667,0.25
0.336501027,0.714285714,0.2
0.586636904,0.5,0.3
0.586636904,0.5,0.3
0.625101598,0.461538462,0.35
0.55380028,0.428571429,0.4
0.344444444,0.571428571,0.3
0.362388562,0.4,0.45
0.586636904,0.5,0.3
0.586636904,0.5,0.3
0.586636904,0.5,0.3
0.586636904,0.5,0.3
0.586636904,0.5,0.3
0.354444444,0.615384615,0.25
0.29625,0.533333333,0.35
0.282834924,0.352941176,0.55
0.604809173,0.4,0.45
0.269120879,0.375,0.5
0.210365854,0.5,0.4
0.475195851,0.470588235,0.45
0.57380028,0.5,0.3
0.56380028,0.461538462,0.35
0.354444444,0.615384615,0.25
0.744444444,0.461538462,0.35
0.785596256,0.571428571,0.3
